,new,test_curr,test_name,dimm,temp,vdd
0,30,276.792752572,sumitFCFS,samsungo18,20,1.35
1,30,276.471688412,sumitFCFS,samsungo18,20,1.35
2,30,276.400146892,sumitFCFS,samsungo18,20,1.35
3,30,276.614751012,sumitFCFS,samsungo18,20,1.35
4,30,276.909611972,sumitFCFS,samsungo18,20,1.35
5,30,277.29618773199996,sumitFCFS,samsungo18,20,1.35
6,30,277.779430852,sumitFCFS,samsungo18,20,1.35
7,30,276.91690989200004,sumitFCFS,samsungo18,20,1.35
8,30,277.263698052,sumitFCFS,samsungo18,20,1.35
9,30,277.133457452,sumitFCFS,samsungo18,20,1.35
10,30,277.232907372,sumitFCFS,samsungo18,20,1.35
11,30,277.491266772,sumitFCFS,samsungo18,20,1.35
12,30,277.472781612,sumitFCFS,samsungo18,20,1.35
13,30,277.837346012,sumitFCFS,samsungo18,20,1.35
14,30,277.485737212,sumitFCFS,samsungo18,20,1.35
15,30,278.159178812,sumitFRFCFS,samsungo18,20,1.35
16,30,277.904990012,sumitFRFCFS,samsungo18,20,1.35
17,30,277.751452092,sumitFRFCFS,samsungo18,20,1.35
18,30,278.325787532,sumitFRFCFS,samsungo18,20,1.35
19,30,278.428943452,sumitFRFCFS,samsungo18,20,1.35
20,30,277.939690412,sumitFRFCFS,samsungo18,20,1.35
21,30,278.180763732,sumitFRFCFS,samsungo18,20,1.35
22,30,278.264107492,sumitFRFCFS,samsungo18,20,1.35
23,30,278.558840932,sumitFRFCFS,samsungo18,20,1.35
24,30,277.978861772,sumitFRFCFS,samsungo18,20,1.35
25,30,278.350566852,sumitFRFCFS,samsungo18,20,1.35
26,30,278.82211629200003,sumitFRFCFS,samsungo18,20,1.35
27,30,278.08254541199994,sumitFRFCFS,samsungo18,20,1.35
28,30,277.84268653199996,sumitFRFCFS,samsungo18,20,1.35
29,30,277.97168617200003,sumitFRFCFS,samsungo18,20,1.35
30,30,234.69752045200002,sumitAHB,samsungo18,20,1.35
31,30,240.437655732,sumitAHB,samsungo18,20,1.35
32,30,235.026795812,sumitAHB,samsungo18,20,1.35
33,30,240.487341812,sumitAHB,samsungo18,20,1.35
34,30,234.159167612,sumitAHB,samsungo18,20,1.35
35,30,240.26247593200003,sumitAHB,samsungo18,20,1.35
36,30,234.57221881200002,sumitAHB,samsungo18,20,1.35
37,30,234.61357281199997,sumitAHB,samsungo18,20,1.35
38,30,240.456046372,sumitAHB,samsungo18,20,1.35
39,30,234.52674401200002,sumitAHB,samsungo18,20,1.35
40,30,240.35010009200002,sumitAHB,samsungo18,20,1.35
41,30,240.181960412,sumitAHB,samsungo18,20,1.35
42,30,240.693569092,sumitAHB,samsungo18,20,1.35
43,30,241.11384733199998,sumitAHB,samsungo18,20,1.35
44,30,235.036366652,sumitAHB,samsungo18,20,1.35
45,30,240.960542252,sumitFRFCFSPRIORHIT,samsungo18,20,1.35
46,30,235.566431532,sumitFRFCFSPRIORHIT,samsungo18,20,1.35
47,30,240.594851172,sumitFRFCFSPRIORHIT,samsungo18,20,1.35
48,30,234.997529172,sumitFRFCFSPRIORHIT,samsungo18,20,1.35
49,30,240.95094949199998,sumitFRFCFSPRIORHIT,samsungo18,20,1.35
50,30,235.63248597199998,sumitFRFCFSPRIORHIT,samsungo18,20,1.35
51,30,240.72030289200003,sumitFRFCFSPRIORHIT,samsungo18,20,1.35
52,30,235.543365892,sumitFRFCFSPRIORHIT,samsungo18,20,1.35
